axis,value,conf,team,MVP,SB_MVP,SB_WIN,OPOY,DPOY,OROY,DROY,First_AP,Second_AP,Pro_Bowl
0,SEC,SEC,Carolina Panthers,1,0,0,1,0,1,0,1,0,3
1,Carolina Panthers,SEC,Carolina Panthers,1,0,0,1,0,1,0,1,0,3
2,0,SEC,Carolina Panthers,1,0,0,1,0,1,0,1,0,3
0,Big 12,Big 12,Denver Broncos,0,1,2,0,0,0,1,3,4,8
1,Denver Broncos,Big 12,Denver Broncos,0,1,2,0,0,0,1,3,4,8
2,0,Big 12,Denver Broncos,0,1,2,0,0,0,1,3,4,8
0,SEC,SEC,Buffalo Bills,0,0,0,0,0,0,0,1,0,2
1,Buffalo Bills,SEC,Buffalo Bills,0,0,0,0,0,0,0,1,0,2
2,0,SEC,Buffalo Bills,0,0,0,0,0,0,0,1,0,2
0,SEC,SEC,Cincinnati Bengals,0,0,0,0,0,0,0,0,2,7
1,Cincinnati Bengals,SEC,Cincinnati Bengals,0,0,0,0,0,0,0,0,2,7
2,0,SEC,Cincinnati Bengals,0,0,0,0,0,0,0,0,2,7
0,SEC,SEC,Arizona Cardinals,0,0,0,0,0,0,0,3,0,8
1,Arizona Cardinals,SEC,Arizona Cardinals,0,0,0,0,0,0,0,3,0,8
2,0,SEC,Arizona Cardinals,0,0,0,0,0,0,0,3,0,8
0,SEC,SEC,Atlanta Falcons,0,0,0,0,0,0,0,2,3,7
1,Atlanta Falcons,SEC,Atlanta Falcons,0,0,0,0,0,0,0,2,3,7
2,0,SEC,Atlanta Falcons,0,0,0,0,0,0,0,2,3,7
0,Big 12,Big 12,San Francisco 49ers,0,0,0,0,0,0,0,1,0,1
1,San Francisco 49ers,Big 12,San Francisco 49ers,0,0,0,0,0,0,0,1,0,1
2,0,Big 12,San Francisco 49ers,0,0,0,0,0,0,0,1,0,1
0,Pac12,Pac12,Tennessee Titans,0,0,0,0,0,0,0,0,0,0
1,Tennessee Titans,Pac12,Tennessee Titans,0,0,0,0,0,0,0,0,0,0
2,0,Pac12,Tennessee Titans,0,0,0,0,0,0,0,0,0,0
0,Pac12,Pac12,Dallas Cowboys,0,0,0,0,0,0,0,2,3,8
1,Dallas Cowboys,Pac12,Dallas Cowboys,0,0,0,0,0,0,0,2,3,8
2,0,Pac12,Dallas Cowboys,0,0,0,0,0,0,0,2,3,8
0,Big 12,Big 12,Jacksonville Jaguars,0,0,2,0,0,0,0,0,0,0
1,Jacksonville Jaguars,Big 12,Jacksonville Jaguars,0,0,2,0,0,0,0,0,0,0
2,0,Big 12,Jacksonville Jaguars,0,0,2,0,0,0,0,0,0,0
0,Big Ten,Big Ten,Houston Texans,0,0,0,0,3,0,0,5,2,5
1,Houston Texans,Big Ten,Houston Texans,0,0,0,0,3,0,0,5,2,5
2,0,Big Ten,Houston Texans,0,0,0,0,3,0,0,5,2,5
0,ACC,ACC,Minnesota Vikings,0,0,0,0,0,0,0,0,0,0
1,Minnesota Vikings,ACC,Minnesota Vikings,0,0,0,0,0,0,0,0,0,0
2,0,ACC,Minnesota Vikings,0,0,0,0,0,0,0,0,0,0
0,SEC,SEC,Detroit Lions,0,0,0,0,0,0,0,0,0,0
1,Detroit Lions,SEC,Detroit Lions,0,0,0,0,0,0,0,0,0,0
2,0,SEC,Detroit Lions,0,0,0,0,0,0,0,0,0,0
0,ACC,ACC,Los Angeles Rams,0,0,0,0,0,0,0,1,1,3
1,Los Angeles Rams,ACC,Los Angeles Rams,0,0,0,0,0,0,0,1,1,3
2,0,ACC,Los Angeles Rams,0,0,0,0,0,0,0,1,1,3
0,SEC,SEC,Miami Dolphins,0,0,0,0,0,0,0,0,0,4
1,Miami Dolphins,SEC,Miami Dolphins,0,0,0,0,0,0,0,0,0,4
2,0,SEC,Miami Dolphins,0,0,0,0,0,0,0,0,0,4
0,Big Ten,Big Ten,Washington Commanders,0,0,0,0,0,0,0,0,0,4
1,Washington Commanders,Big Ten,Washington Commanders,0,0,0,0,0,0,0,0,0,4
2,0,Big Ten,Washington Commanders,0,0,0,0,0,0,0,0,0,4
0,Big 12,Big 12,New England Patriots,0,0,2,0,0,0,0,0,0,0
1,New England Patriots,Big 12,New England Patriots,0,0,2,0,0,0,0,0,0,0
2,0,Big 12,New England Patriots,0,0,2,0,0,0,0,0,0,0
0,Big Ten,Big Ten,Los Angeles Chargers,0,0,0,0,0,0,0,0,0,0
1,Los Angeles Chargers,Big Ten,Los Angeles Chargers,0,0,0,0,0,0,0,0,0,0
2,0,Big Ten,Los Angeles Chargers,0,0,0,0,0,0,0,0,0,0
0,Big 12,Big 12,New York Giants,0,0,1,0,0,0,0,0,0,0
1,New York Giants,Big 12,New York Giants,0,0,1,0,0,0,0,0,0,0
2,0,Big 12,New York Giants,0,0,1,0,0,0,0,0,0,0
0,Big Ten,Big Ten,Tampa Bay Buccaneers,0,0,1,0,0,0,0,0,0,0
1,Tampa Bay Buccaneers,Big Ten,Tampa Bay Buccaneers,0,0,1,0,0,0,0,0,0,0
2,0,Big Ten,Tampa Bay Buccaneers,0,0,1,0,0,0,0,0,0,0
0,Big 12,Big 12,Cleveland Browns,0,0,0,0,0,0,0,0,0,0
1,Cleveland Browns,Big 12,Cleveland Browns,0,0,0,0,0,0,0,0,0,0
2,0,Big 12,Cleveland Browns,0,0,0,0,0,0,0,0,0,0
0,ACC,ACC,Indianapolis Colts,0,0,0,0,0,0,0,0,0,0
1,Indianapolis Colts,ACC,Indianapolis Colts,0,0,0,0,0,0,0,0,0,0
2,0,ACC,Indianapolis Colts,0,0,0,0,0,0,0,0,0,0
0,Big 12,Big 12,Philadelphia Eagles,0,0,0,0,0,0,0,0,0,0
1,Philadelphia Eagles,Big 12,Philadelphia Eagles,0,0,0,0,0,0,0,0,0,0
2,0,Big 12,Philadelphia Eagles,0,0,0,0,0,0,0,0,0,0
0,Pac12,Pac12,New Orleans Saints,0,0,0,0,0,0,0,1,2,8
1,New Orleans Saints,Pac12,New Orleans Saints,0,0,0,0,0,0,0,1,2,8
2,0,Pac12,New Orleans Saints,0,0,0,0,0,0,0,1,2,8
0,SEC,SEC,Seattle Seahawks,0,0,1,0,0,0,0,0,0,0
