Player,ID,MVP,SB_MVP,SB_WIN,OPOY,DPOY,OROY,DROY,First_AP,Second_AP,Pro_Bowl
Jadeveon Clowney,2014001,0,0,0,0,0,0,0,0,1,3
Greg Robinson,2014002,0,0,0,0,0,0,0,0,0,0
Blake Bortles,2014003,0,0,0,0,0,0,0,0,0,0
Sammy Watkins,2014004,0,0,1,0,0,0,0,0,0,0
Khalil Mack,2014005,0,0,0,0,1,0,0,4,1,8
Jake Matthews,2014006,0,0,0,0,0,0,0,0,0,1
Mike Evans,2014007,0,0,1,0,0,0,0,0,2,5
Justin Gilbert,2014008,0,0,0,0,0,0,0,0,0,0
Anthony Barr,2014009,0,0,0,0,0,0,0,0,0,4
Eric Ebron,2014010,0,0,0,0,0,0,0,0,0,1
Taylor Lewan,2014011,0,0,0,0,0,0,0,0,0,3
Odell Beckham Jr,2014012,0,0,1,0,0,1,0,0,2,3
Aaron Donald,2014013,0,0,1,0,3,0,1,8,0,10
Kyle Fuller,2014014,0,0,0,0,0,0,0,1,0,2
Ryan Shazier,2014015,0,0,0,0,0,0,0,0,0,2
Zack Martin,2014016,0,0,0,0,0,0,0,7,2,9
C J Mosley,2014017,0,0,0,0,0,0,0,0,5,5
Calvin Pryor,2014018,0,0,0,0,0,0,0,0,0,0
JaWuan James,2014019,0,0,0,0,0,0,0,0,0,0
Brandin Cooks,2014020,0,0,0,0,0,0,0,0,0,0
Ha Ha ClintonDix,2014021,0,0,0,0,0,0,0,0,1,1
Johnny Manziel,2014022,0,0,0,0,0,0,0,0,0,0
Dee Ford,2014023,0,0,0,0,0,0,0,0,0,1
Darqueze Dennard,2014024,0,0,0,0,0,0,0,0,0,0
Jason Verrett,2014025,0,0,0,0,0,0,0,0,0,1
Marcus Smith,2014026,0,0,0,0,0,0,0,0,0,0
Deone Bucannon,2014027,0,0,1,0,0,0,0,0,0,0
Kelvin Benjamin,2014028,0,0,0,0,0,0,0,0,0,0
Dominique Easley,2014029,0,0,1,0,0,0,0,0,0,0
Jimmie Ward,2014030,0,0,0,0,0,0,0,0,0,0
Bradley Roby,2014031,0,0,1,0,0,0,0,0,0,0
Teddy Bridgewater,2014032,0,0,0,0,0,0,0,0,0,1
Xavier SuaFilo,2014033,0,0,0,0,0,0,0,0,0,0
DeMarcus Lawrence,2014034,0,0,0,0,0,0,0,0,1,4
Joel Bitonio,2014035,0,0,0,0,0,0,0,2,3,6
Derek Carr,2014036,0,0,0,0,0,0,0,0,0,4
RaShede Hageman,2014037,0,0,0,0,0,0,0,0,0,0
Austin SeferianJenkins,2014038,0,0,0,0,0,0,0,0,0,0
Marqise Lee,2014039,0,0,0,0,0,0,0,0,0,0
Kyle Van Noy,2014040,0,0,2,0,0,0,0,0,0,0
Lamarcus Joyner,2014041,0,0,0,0,0,0,0,0,0,0
Jordan Matthews,2014042,0,0,0,0,0,0,0,0,0,0
Weston Richburg,2014043,0,0,0,0,0,0,0,0,0,0
Cyrus Kouandjio,2014044,0,0,0,0,0,0,0,0,0,0
Paul Richardson,2014045,0,0,0,0,0,0,0,0,0,0
Stephon Tuitt,2014046,0,0,0,0,0,0,0,0,0,0
Trent Murphy,2014047,0,0,0,0,0,0,0,0,0,0
Timmy Jernigan,2014048,0,0,1,0,0,0,0,0,0,0
Jace Amaro,2014049,0,0,0,0,0,0,0,0,0,0
Jeremiah Attaochu,2014050,0,0,0,0,0,0,0,0,0,0
Ego Ferguson,2014051,0,0,0,0,0,0,0,0,0,0
Troy Niklas,2014052,0,0,0,0,0,0,0,0,0,0
Davante Adams,2014053,0,0,0,0,0,0,0,3,0,6
Bishop Sankey,2014054,0,0,0,0,0,0,0,0,0,0
Jeremy Hill,2014055,0,0,1,0,0,0,0,0,0,0
Cody Latimer,2014056,0,0,1,0,0,0,0,0,0,0
Carlos Hyde,2014057,0,0,0,0,0,0,0,0,0,0
Stanley JeanBaptiste,2014058,0,0,0,0,0,0,0,0,0,0
Jack Mewhort,2014059,0,0,0,0,0,0,0,0,0,0
Kony Ealy,2014060,0,0,0,0,0,0,0,0,0,0
Allen Robinson,2014061,0,0,0,0,0,0,0,0,0,1
Jimmy Garoppolo,2014062,0,0,2,0,0,0,0,0,0,0
Jarvis Landry,2014063,0,0,0,0,0,0,0,0,0,5
Justin Britt,2014064,0,0,0,0,0,0,0,0,0,0
C J Fiedorowicz,2014065,0,0,0,0,0,0,0,0,0,0
Morgan Moses,2014066,0,0,0,0,0,0,0,0,0,0
Billy Turner,2014067,0,0,0,0,0,0,0,0,0,0
Dezmen Southward,2014068,0,0,0,0,0,0,0,0,0,0
Charles Sims,2014069,0,0,0,0,0,0,0,0,0,0
Marcus Martin,2014070,0,0,0,0,0,0,0,0,0,0
Christian Kirksey,2014071,0,0,0,0,0,0,0,0,0,0
Scott Crichton,2014072,0,0,0,0,0,0,0,0,0,0
Preston Brown,2014073,0,0,0,0,0,0,0,0,0,0
Jay Bromley,2014074,0,0,0,0,0,0,0,0,0,0
Tre Mason,2014075,0,0,0,0,0,0,0,0,0,0
