axis,value,conf,team,MVP,SB_MVP,SB_WIN,OPOY,DPOY,OROY,DROY,First_AP,Second_AP,Pro_Bowl,Player,Team,College,Pos
0,ACC,ACC,Tampa Bay Buccaneers,0,0,0,0,0,0,0,0,0,1,Jameis Winston,Tampa Bay Buccaneers,Florida State,QB
1,Tampa Bay Buccaneers,ACC,Tampa Bay Buccaneers,0,0,0,0,0,0,0,0,0,1,Jameis Winston,Tampa Bay Buccaneers,Florida State,QB
2,0,ACC,Tampa Bay Buccaneers,0,0,0,0,0,0,0,0,0,1,Jameis Winston,Tampa Bay Buccaneers,Florida State,QB
0,Pac12,Pac12,Tennessee Titans,0,0,0,0,0,0,0,0,0,0,Marcus Mariota,Tennessee Titans,Oregon,QB
1,Tennessee Titans,Pac12,Tennessee Titans,0,0,0,0,0,0,0,0,0,0,Marcus Mariota,Tennessee Titans,Oregon,QB
2,0,Pac12,Tennessee Titans,0,0,0,0,0,0,0,0,0,0,Marcus Mariota,Tennessee Titans,Oregon,QB
0,SEC,SEC,Jacksonville Jaguars,0,0,0,0,0,0,0,0,0,0,Dante Fowler,Jacksonville Jaguars,Florida,DE
1,Jacksonville Jaguars,SEC,Jacksonville Jaguars,0,0,0,0,0,0,0,0,0,0,Dante Fowler,Jacksonville Jaguars,Florida,DE
2,0,SEC,Jacksonville Jaguars,0,0,0,0,0,0,0,0,0,0,Dante Fowler,Jacksonville Jaguars,Florida,DE
0,SEC,SEC,Las Vegas Raiders,0,0,0,0,0,0,0,0,0,5,Amari Cooper,Las Vegas Raiders,Alabama,WR
1,Las Vegas Raiders,SEC,Las Vegas Raiders,0,0,0,0,0,0,0,0,0,5,Amari Cooper,Las Vegas Raiders,Alabama,WR
2,0,SEC,Las Vegas Raiders,0,0,0,0,0,0,0,0,0,5,Amari Cooper,Las Vegas Raiders,Alabama,WR
0,Big Ten,Big Ten,Washington Commanders,0,0,0,0,0,0,0,1,0,5,Brandon Scherff,Washington Commanders,Iowa,OT
1,Washington Commanders,Big Ten,Washington Commanders,0,0,0,0,0,0,0,1,0,5,Brandon Scherff,Washington Commanders,Iowa,OT
2,0,Big Ten,Washington Commanders,0,0,0,0,0,0,0,1,0,5,Brandon Scherff,Washington Commanders,Iowa,OT
0,Pac12,Pac12,New York Jets,0,0,0,0,0,0,0,0,0,1,Leonard Williams,New York Jets,USC,DE
1,New York Jets,Pac12,New York Jets,0,0,0,0,0,0,0,0,0,1,Leonard Williams,New York Jets,USC,DE
2,0,Pac12,New York Jets,0,0,0,0,0,0,0,0,0,1,Leonard Williams,New York Jets,USC,DE
0,Big 12,Big 12,Chicago Bears,0,0,0,0,0,0,0,0,0,0,Kevin White,Chicago Bears,West Virginia,WR
1,Chicago Bears,Big 12,Chicago Bears,0,0,0,0,0,0,0,0,0,0,Kevin White,Chicago Bears,West Virginia,WR
2,0,Big 12,Chicago Bears,0,0,0,0,0,0,0,0,0,0,Kevin White,Chicago Bears,West Virginia,WR
0,ACC,ACC,Atlanta Falcons,0,0,0,0,0,0,0,1,0,1,Vic Beasley,Atlanta Falcons,Clemson,DE
1,Atlanta Falcons,ACC,Atlanta Falcons,0,0,0,0,0,0,0,1,0,1,Vic Beasley,Atlanta Falcons,Clemson,DE
2,0,ACC,Atlanta Falcons,0,0,0,0,0,0,0,1,0,1,Vic Beasley,Atlanta Falcons,Clemson,DE
0,ACC,ACC,New York Giants,0,0,0,0,0,0,0,0,0,0,Ereck Flowers,New York Giants,Miami FL,OT
1,New York Giants,ACC,New York Giants,0,0,0,0,0,0,0,0,0,0,Ereck Flowers,New York Giants,Miami FL,OT
2,0,ACC,New York Giants,0,0,0,0,0,0,0,0,0,0,Ereck Flowers,New York Giants,Miami FL,OT
0,SEC,SEC,Los Angeles Rams,0,0,0,1,0,1,0,2,1,3,Todd Gurley,Los Angeles Rams,Georgia,RB
1,Los Angeles Rams,SEC,Los Angeles Rams,0,0,0,1,0,1,0,2,1,3,Todd Gurley,Los Angeles Rams,Georgia,RB
2,0,SEC,Los Angeles Rams,0,0,0,1,0,1,0,2,1,3,Todd Gurley,Los Angeles Rams,Georgia,RB
0,Big Ten,Big Ten,Minnesota Vikings,0,0,0,0,0,0,0,0,0,0,Trae Waynes,Minnesota Vikings,Michigan State,CB
