Round,Pick_No,Team,Player,Player_Link,Pos,College,Conf,ID,Conf_Clean,Div,MVP,SB_MVP,SB_WIN,OPOY,DPOY,OROY,DROY,First_AP,Second_AP,Pro_Bowl
1,1,Cleveland Browns,Baker Mayfield,https://en.wikipedia.org/wiki/Baker_Mayfield ,QB,Oklahoma,Big 12,2018001,Big 12,AFC North,0,0,0,0,0,0,0,0,0,1
1,2,New York Giants,Saquon Barkley,https://en.wikipedia.org/wiki/Saquon_Barkley ,RB,Penn State,Big Ten,2018002,Big Ten,NFC East,0,0,0,0,0,1,0,0,0,2
1,3,New York Jets,Sam Darnold,https://en.wikipedia.org/wiki/Sam_Darnold ,QB,USC,Pac12,2018003,Pac12,AFC East,0,0,0,0,0,0,0,0,0,0
1,4,Cleveland Browns,Denzel Ward,https://en.wikipedia.org/wiki/Denzel_Ward ,CB,Ohio State,Big Ten,2018004,Big Ten,AFC North,0,0,0,0,0,0,0,0,0,3
1,5,Denver Broncos,Bradley Chubb,https://en.wikipedia.org/wiki/Bradley_Chubb ,DE,NC State,ACC,2018005,ACC,AFC West,0,0,0,0,0,0,0,0,0,2
1,6,Indianapolis Colts,Quenton Nelson,https://en.wikipedia.org/wiki/Quenton_Nelson ,OG,Notre Dame,Ind FBS,2018006,Other,AFC South,0,0,0,0,0,0,0,3,1,6
1,7,Buffalo Bills,Josh Allen,https://en.wikipedia.org/wiki/Josh_Allen ,QB,Wyoming,MW,2018007,Other,AFC East,0,0,0,0,0,0,0,0,1,2
1,8,Chicago Bears,Roquan Smith,https://en.wikipedia.org/wiki/Roquan_Smith ,LB,Georgia,SEC,2018008,SEC,NFC North,0,0,0,0,0,0,0,2,2,2
1,9,San Francisco 49ers,Mike McGlinchey,https://en.wikipedia.org/wiki/Mike_McGlinchey_(offensive_lineman) ,OT,Notre Dame,Ind FBS,2018009,Other,NFC West,0,0,0,0,0,0,0,0,0,0
1,10,Arizona Cardinals,Josh Rosen,https://en.wikipedia.org/wiki/Josh_Rosen ,QB,UCLA,Pac12,2018010,Pac12,NFC West,0,0,0,0,0,0,0,0,0,0
1,11,Miami Dolphins,Minkah Fitzpatrick,https://en.wikipedia.org/wiki/Minkah_Fitzpatrick ,S,Alabama,SEC,2018011,SEC,AFC East,0,0,0,0,0,0,0,3,0,4
1,12,Tampa Bay Buccaneers,Vita Vea,https://en.wikipedia.org/wiki/Vita_Vea ,NT,Washington,Pac12,2018012,Pac12,NFC South,0,0,1,0,0,0,0,0,0,1
1,13,Washington Commanders,Daron Payne,https://en.wikipedia.org/wiki/Daron_Payne ,NT,Alabama,SEC,2018013,SEC,NFC East,0,0,0,0,0,0,0,0,0,1
1,14,New Orleans Saints,Marcus Davenport,https://en.wikipedia.org/wiki/Marcus_Davenport ,DE,UTSA,CUSA,2018014,Other,NFC South,0,0,0,0,0,0,0,0,0,0
