Player,ID,MVP,SB_MVP,SB_WIN,OPOY,DPOY,OROY,DROY,First_AP,Second_AP,Pro_Bowl
Sam Bradford,2010001,0,0,0,0,0,1,0,0,0,0
Ndamukong Suh,2010002,0,0,1,0,0,0,1,3,2,5
Gerald McCoy,2010003,0,0,0,0,0,0,0,1,2,6
Trent Williams,2010004,0,0,0,0,0,0,0,3,1,11
Eric Berry,2010005,0,0,0,0,0,0,0,3,0,5
Russell Okung,2010006,0,0,0,0,0,0,0,0,0,0
Joe Haden,2010007,0,0,0,0,0,0,0,0,1,3
Rolando McClain,2010008,0,0,0,0,0,0,0,0,0,0
C J Spiller,2010009,0,0,0,0,0,0,0,0,0,0
Tyson Alualu,2010010,0,0,0,0,0,0,0,0,0,0
Anthony Davis,2010011,0,0,0,0,0,0,0,0,0,0
Ryan Mathews,2010012,0,0,0,0,0,0,0,0,0,1
Brandon Graham,2010013,0,0,1,0,0,0,0,0,1,1
Earl Thomas,2010014,0,0,1,0,0,0,0,3,2,7
Jason PierrePaul,2010015,0,0,2,0,0,0,0,1,0,3
Derrick Morgan,2010016,0,0,0,0,0,0,0,0,0,0
Mike Iupati,2010017,0,0,0,0,0,0,0,1,1,4
Maurkice Pouncey,2010018,0,0,0,0,0,0,0,2,3,9
Sean Weatherspoon,2010019,0,0,0,0,0,0,0,0,0,0
Kareem Jackson,2010020,0,0,0,0,0,0,0,0,0,0
Jermaine Gresham,2010021,0,0,0,0,0,0,0,0,0,2
Demaryius Thomas,2010022,0,0,1,0,0,0,0,0,2,4
Bryan Bulaga,2010023,0,0,1,0,0,0,0,0,0,0
Dez Bryant,2010024,0,0,0,0,0,0,0,1,0,3
Tim Tebow,2010025,0,0,0,0,0,0,0,0,0,0
Dan Williams,2010026,0,0,0,0,0,0,0,0,0,0
Devin McCourty,2010027,0,0,3,0,0,0,0,0,3,2
Jared Odrick,2010028,0,0,0,0,0,0,0,0,0,0
Kyle Wilson,2010029,0,0,0,0,0,0,0,0,0,0
Jahvid Best,2010030,0,0,0,0,0,0,0,0,0,0
Jerry Hughes,2010031,0,0,0,0,0,0,0,0,0,0
Patrick Robinson,2010032,0,0,1,0,0,0,0,0,0,0
Rodger Saffold,2010033,0,0,0,0,0,0,0,0,1,2
Chris Cook,2010034,0,0,0,0,0,0,0,0,0,0
Brian Price,2010035,0,0,0,0,0,0,0,0,0,0
Dexter McCluster,2010036,0,0,0,0,0,0,0,0,1,1
Nate Allen,2010037,0,0,0,0,0,0,0,0,0,0
T J Ward,2010038,0,0,1,0,0,0,0,0,1,3
Arrelious Benn,2010039,0,0,0,0,0,0,0,0,0,0
Koa Misi,2010040,0,0,0,0,0,0,0,0,0,0
Torell Troup,2010041,0,0,0,0,0,0,0,0,0,0
Rob Gronkowski,2010042,0,0,4,0,0,0,0,4,0,5
Sergio Kindle,2010043,0,0,0,0,0,0,0,0,0,0
Lamarr Houston,2010044,0,0,0,0,0,0,0,0,0,0
Zane Beadles,2010045,0,0,0,0,0,0,0,0,0,1
Linval Joseph,2010046,0,0,1,0,0,0,0,0,0,2
Daryl Washington,2010047,0,0,0,0,0,0,0,0,1,1
Jimmy Clausen,2010048,0,0,0,0,0,0,0,0,0,0
Taylor Mays,2010049,0,0,0,0,0,0,0,0,0,0
Javier Arenas,2010050,0,0,0,0,0,0,0,0,0,0
Toby Gerhart,2010051,0,0,0,0,0,0,0,0,0,0
Jason Worilds,2010052,0,0,0,0,0,0,0,0,0,0
Jermaine Cunningham,2010053,0,0,0,0,0,0,0,0,0,0
Carlos Dunlap,2010054,0,0,1,0,0,0,0,0,0,2
Sean Lee,2010055,0,0,0,0,0,0,0,1,0,2
Mike Neal,2010056,0,0,1,0,0,0,0,0,0,0
Terrence Cody,2010057,0,0,1,0,0,0,0,0,0,0
Ben Tate,2010058,0,0,0,0,0,0,0,0,0,0
Montario Hardesty,2010059,0,0,0,0,0,0,0,0,0,0
Golden Tate,2010060,0,0,1,0,0,0,0,0,0,1
Vladimir Ducasse,2010061,0,0,0,0,0,0,0,0,0,0
Brandon Spikes,2010062,0,0,0,0,0,0,0,0,0,0
Pat Angerer,2010063,0,0,0,0,0,0,0,0,0,0
Charles Brown,2010064,0,0,0,0,0,0,0,0,0,0
Jerome Murphy,2010065,0,0,0,0,0,0,0,0,0,0
Amari Spievey,2010066,0,0,0,0,0,0,0,0,0,0
Myron Lewis,2010067,0,0,0,0,0,0,0,0,0,0
Jon Asamoah,2010068,0,0,0,0,0,0,0,0,0,0
Jared Veldheer,2010069,0,0,0,0,0,0,0,0,0,0
Ed Dickson,2010070,0,0,1,0,0,0,0,0,0,0
Morgan Burnett,2010071,0,0,1,0,0,0,0,0,0,0
Alex Carrington,2010072,0,0,0,0,0,0,0,0,0,0
John Jerry,2010073,0,0,0,0,0,0,0,0,0,0
DAnthony Smith,2010074,0,0,1,0,0,0,0,0,0,0
Major Wright,2010075,0,0,0,0,0,0,0,0,0,0
Chad Jones,2010076,0,0,0,0,0,0,0,0,0,0
Damian Williams,2010077,0,0,0,0,0,0,0,0,0,0
Brandon LaFell,2010078,0,0,1,0,0,0,0,0,0,0
Donald Butler,2010079,0,0,0,0,0,0,0,0,0,0
J D Walton,2010080,0,0,0,0,0,0,0,0,0,0
Earl Mitchell,2010081,0,0,0,0,0,0,0,0,0,0
Emmanuel Sanders,2010082,0,0,1,0,0,0,0,0,0,2
Corey Peters,2010083,0,0,0,0,0,0,0,0,0,0
Jordan Shipley,2010084,0,0,0,0,0,0,0,0,0,0
Colt McCoy,2010085,0,0,0,0,0,0,0,0,0,0
Daniel TeoNesheim,2010086,0,0,0,0,0,0,0,0,0,0
Eric Decker,2010087,0,0,0,0,0,0,0,0,0,0
Andre Roberts,2010088,0,0,0,0,0,0,0,1,2,3
Armanti Edwards,2010089,0,0,0,0,0,0,0,0,0,0
Taylor Price,2010090,0,0,0,0,0,0,0,0,0,0
NaVorro Bowman,2010091,0,0,0,0,0,0,0,4,0,3
Shawn Lauvao,2010092,0,0,0,0,0,0,0,0,0,0
Tony Moeaki,2010093,0,0,0,0,0,0,0,0,0,0
Kevin Thomas,2010094,0,0,0,0,0,0,0,0,0,0
Jimmy Graham,2010095,0,0,0,0,0,0,0,1,1,5
Brandon Ghee,2010096,0,0,0,0,0,0,0,0,0,0
Rennie Curran,2010097,0,0,0,0,0,0,0,0,0,0
Mike Johnson,2010098,0,0,0,0,0,0,0,0,0,0
Mardy Gilyard,2010099,0,0,0,0,0,0,0,0,0,0
Everson Griffen,2010100,0,0,0,0,0,0,0,0,1,4
Mike Williams,2010101,0,0,0,0,0,0,0,0,0,0
Darryl Sharpton,2010102,0,0,0,0,0,0,0,0,0,0
Perry Riley,2010103,0,0,0,0,0,0,0,0,0,0
Alterraun Verner,2010104,0,0,0,0,0,0,0,0,1,1
Trevard Lindley,2010105,0,0,0,0,0,0,0,0,0,0
Bruce Campbell,2010106,0,0,0,0,0,0,0,0,0,0
Marcus Easley,2010107,0,0,0,0,0,0,0,0,0,0
Jacoby Ford,2010108,0,0,0,0,0,0,0,0,0,0
Corey Wootton,2010109,0,0,0,0,0,0,0,0,0,0
Darrell Stuckey,2010110,0,0,0,0,0,0,0,0,0,1
Walter Thurmond,2010111,0,0,1,0,0,0,0,0,0,0
Joe McKnight,2010112,0,0,0,0,0,0,0,0,0,0
Aaron Hernandez,2010113,0,0,0,0,0,0,0,0,0,0
Dennis Pitta,2010114,0,0,1,0,0,0,0,0,0,0
Phillip Dillard,2010115,0,0,0,0,0,0,0,0,0,0
Thaddeus Gibson,2010116,0,0,0,0,0,0,0,0,0,0
Joe Hawley,2010117,0,0,0,0,0,0,0,0,0,0
Garrett Graham,2010118,0,0,0,0,0,0,0,0,0,0
A J Edds,2010119,0,0,0,0,0,0,0,0,0,0
Geno Atkins,2010120,0,0,0,0,0,0,0,2,1,8
Keenan Clayton,2010121,0,0,0,0,0,0,0,0,0,0
Mike Kafka,2010122,0,0,1,0,0,0,0,0,0,0
Al Woods,2010123,0,0,0,0,0,0,0,0,0,0
Eric Norwood,2010124,0,0,0,0,0,0,0,0,0,0
Clay Harbor,2010125,0,0,0,0,0,0,0,0,0,0
Akwasi OwusuAnsah,2010126,0,0,0,0,0,0,0,0,0,0
E J Wilson,2010127,0,0,0,0,0,0,0,0,0,0
Jason Curtis Fox,2010128,0,0,0,0,0,0,0,0,0,0
Jacques McClendon,2010129,0,0,0,0,0,0,0,0,0,0
OBrien Schofield,2010130,0,0,1,0,0,0,0,0,0,0
Roddrick Muckelroy,2010131,0,0,0,0,0,0,0,0,0,0
Michael Hoomanawanui,2010132,0,0,1,0,0,0,0,0,0,0
Kam Chancellor,2010133,0,0,1,0,0,0,0,0,2,4
Ricky Sapp,2010134,0,0,0,0,0,0,0,0,0,0
Dominique Franks,2010135,0,0,0,0,0,0,0,0,0,0
Kendrick Lewis,2010136,0,0,0,0,0,0,0,0,0,0
Perrish Cox,2010137,0,0,0,0,0,0,0,0,0,0
Walter McFadden,2010138,0,0,0,0,0,0,0,0,0,0
John Conner,2010139,0,0,0,0,0,0,0,0,0,0
Ed Wang,2010140,0,0,0,0,0,0,0,0,0,0
Joshua Moore,2010141,0,0,0,0,0,0,0,0,0,0
Cameron Sheffield,2010142,0,0,0,0,0,0,0,0,0,0
Larry Hart,2010143,0,0,0,0,0,0,0,0,0,0
Sherrick McManis,2010144,0,0,0,0,0,0,0,0,0,0
Nolan Carroll,2010145,0,0,0,0,0,0,0,0,0,0
Cam Thomas,2010146,0,0,0,0,0,0,0,0,0,0
Mitch Petrus,2010147,0,0,1,0,0,0,0,0,0,0
Robert Johnson,2010148,0,0,0,0,0,0,0,0,0,0
Hall Davis,2010149,0,0,0,0,0,0,0,0,0,0
Zoltan Mesko,2010150,0,0,0,0,0,0,0,0,0,0
Chris Scott,2010151,0,0,0,0,0,0,0,0,0,0
Otis Hudson,2010152,0,0,0,0,0,0,0,0,0,0
Austen Lane,2010153,0,0,0,0,0,0,0,0,0,0
Andrew Quarless,2010154,0,0,1,0,0,0,0,0,0,0
John Skelton,2010155,0,0,0,0,0,0,0,0,0,0
David Reed,2010156,0,0,1,0,0,0,0,0,0,0
Arthur Jones,2010157,0,0,1,0,0,0,0,0,0,0
Matt Tennant,2010158,0,0,0,0,0,0,0,0,0,0
Riley Cooper,2010159,0,0,0,0,0,0,0,0,0,0
Larry Asante,2010160,0,0,0,0,0,0,0,0,0,0
Chris DeGeare,2010161,0,0,0,0,0,0,0,0,0,0
Brody Eldridge,2010162,0,0,0,0,0,0,0,0,0,0
Reshad Jones,2010163,0,0,0,0,0,0,0,0,0,2
Crezdon Butler,2010164,0,0,0,0,0,0,0,0,0,0
Kerry Meier,2010165,0,0,0,0,0,0,0,0,0,0
Stevenson Sylvester,2010166,0,0,0,0,0,0,0,0,0,0
Nathan Triplett,2010167,0,0,0,0,0,0,0,0,0,0
Jonathan Crompton,2010168,0,0,0,0,0,0,0,0,0,0
Marshall Newhouse,2010169,0,0,1,0,0,0,0,0,0,0
Fendi Onobun,2010170,0,0,0,0,0,0,0,0,0,0
Shann Schillinger,2010171,0,0,0,0,0,0,0,0,0,0
Brent Bowden,2010172,0,0,0,0,0,0,0,0,0,0
Anthony Dixon,2010173,0,0,0,0,0,0,0,0,0,0
Dennis Morris,2010174,0,0,0,0,0,0,0,0,0,0
Greg Hardy,2010175,0,0,0,0,0,0,0,0,1,1
Rusty Smith,2010176,0,0,0,0,0,0,0,0,0,0
Carlton Mitchell,2010177,0,0,0,0,0,0,0,0,0,0
Arthur Moats,2010178,0,0,0,0,0,0,0,0,0,0
Sam Young,2010179,0,0,0,0,0,0,0,0,0,0
Deji Karim,2010180,0,0,0,0,0,0,0,0,0,0
Dan LeFevour,2010181,0,0,0,0,0,0,0,0,0,0
Nate Byham,2010182,0,0,0,0,0,0,0,0,0,0
Eric Olsen,2010183,0,0,0,0,0,0,0,0,0,0
Adrian Tracy,2010184,0,0,1,0,0,0,0,0,0,0
Anthony McCoy,2010185,0,0,1,0,0,0,0,0,0,0
Clifton Geathers,2010186,0,0,0,0,0,0,0,0,0,0
Shelley Smith,2010187,0,0,0,0,0,0,0,0,0,0
Jonathan Dwyer,2010188,0,0,0,0,0,0,0,0,0,0
Eugene Sims,2010189,0,0,0,0,0,0,0,0,0,0
Travis Goethel,2010190,0,0,0,0,0,0,0,0,0,0
Dezmon Briscoe,2010191,0,0,0,0,0,0,0,0,0,0
Danny Batten,2010192,0,0,0,0,0,0,0,0,0,0
James Starks,2010193,0,0,1,0,0,0,0,0,0,0
Ramon Harewood,2010194,0,0,1,0,0,0,0,0,0,0
Antonio Brown,2010195,0,0,1,0,0,0,0,4,1,7
Jamar Wall,2010196,0,0,0,0,0,0,0,0,0,0
Trindon Holliday,2010197,0,0,0,0,0,0,0,0,0,0
David Gettis,2010198,0,0,0,0,0,0,0,0,0,0
Joe Webb,2010199,0,0,0,0,0,0,0,0,0,0
Charles Scott,2010200,0,0,0,0,0,0,0,0,0,0
Jorrick Calvin,2010201,0,0,0,0,0,0,0,0,0,0
Jordan Pugh,2010202,0,0,0,0,0,0,0,0,0,0
Scotty McGee,2010203,0,0,0,0,0,0,0,0,0,0
Tony Pike,2010204,0,0,0,0,0,0,0,0,0,0
Ted Larsen,2010205,0,0,1,0,0,0,0,0,0,0
Kyle Williams,2010206,0,0,1,0,0,0,0,0,0,0
Myron Rolle,2010207,0,0,0,0,0,0,0,0,0,0
Thomas Welch,2010208,0,0,0,0,0,0,0,0,0,0
Levi Brown,2010209,0,0,0,0,0,0,0,0,0,0
Cody Grimm,2010210,0,0,1,0,0,0,0,0,0,0
Marquis Johnson,2010211,0,0,0,0,0,0,0,0,0,0
Chris McCoy,2010212,0,0,0,0,0,0,0,0,0,0
Willie Young,2010213,0,0,0,0,0,0,0,0,0,0
Mickey Shuler Jr,2010214,0,0,0,0,0,0,0,0,0,0
Jeremy Ware,2010215,0,0,0,0,0,0,0,0,0,0
Kyle Calloway,2010216,0,0,0,0,0,0,0,0,0,0
Dekoda Watson,2010217,0,0,0,0,0,0,0,0,0,0
JMarcus Webb,2010218,0,0,0,0,0,0,0,0,0,0
Terrence Austin,2010219,0,0,0,0,0,0,0,0,0,0
Jamar Chaney,2010220,0,0,0,0,0,0,0,0,0,0
Matt Dodge,2010221,0,0,0,0,0,0,0,0,0,0
Marc Mariani,2010222,0,0,0,0,0,0,0,0,0,1
RJ Stanford,2010223,0,0,0,0,0,0,0,0,0,0
Phillip Adams,2010224,0,0,0,0,0,0,0,0,0,0
SydQuan Thompson,2010225,0,0,0,0,0,0,0,0,0,0
George Selvie,2010226,0,0,0,0,0,0,0,0,0,0
Dorin Dickerson,2010227,0,0,0,0,0,0,0,0,0,0
Reggie Stephens,2010228,0,0,1,0,0,0,0,0,0,0
Erik Cook,2010229,0,0,0,0,0,0,0,0,0,0
C J Wilson,2010230,0,0,1,0,0,0,0,0,0,0
Selvish Capers,2010231,0,0,1,0,0,0,0,0,0,0
Jammie Kirlew,2010232,0,0,0,0,0,0,0,0,0,0
Jim Dray,2010233,0,0,0,0,0,0,0,0,0,0
Sean Lissemore,2010234,0,0,0,0,0,0,0,0,0,0
Dedrick Epps,2010235,0,0,0,0,0,0,0,0,0,0
